status,site_name,address,city,zip,latitude,longitude
ADDED_2026,O. A. Peterson Elementary School Gym,2000 Winter Hawk Drive,Fort Worth,76177,32.927494,-97.329511
ADDED_2026,Vista Ridge Middle School Cafeteria,3201 Thompson Road,Fort Worth,76177,32.890819,-97.307419
ADDED_2026,Dido United Methodist Church Fellowship Hall,5570 Dido Hicks Road,Fort Worth,76179,32.951563,-97.483113
ADDED_2026,Lake Country Church Main Lobby,8777 Boat Club Road,Fort Worth,76179,32.883341,-97.425886
ADDED_2026,"Tarrant County College Northwest Campus Fire Services Training Center, Building NW11, Room 1403A",4801 Marine Creek Parkway,Fort Worth,76179,32.829938,-97.385824
ADDED_2026,Saginaw Public Library Longhorn Room,300 West McLeroy Boulevard,Saginaw,76179,32.859032,-97.368256
ADDED_2026,"North Richland Hills City Hall 1st Floor, Community Room",4301 City Point Drive,North Richland Hills,76180,32.82772,-97.21721
ADDED_2026,Richland High School Omni Room,5201 Holiday Lane,North Richland Hills,76180,32.841888,-97.227935
ADDED_2026,Foster Village Elementary School Small Gym,6800 Springdale Lane,North Richland Hills,76182,32.876487,-97.232944
ADDED_2026,Caprock Elementary School Gym,12301 Grey Twig Drive,Fort Worth,76244,32.951521,-97.291361
ADDED_2026,Eagle Ridge Elementary School Gym (610),4600 Alta Vista Road,Fort Worth,76244,32.921551,-97.284937
ADDED_2026,Friendship Elementary School Cafeteria,5400 Shiver Road,Fort Worth,76244,32.901869,-97.268804
ADDED_2026,The Met Church All Purpose Room,11301 North Riverside Drive,Fort Worth,76244,32.937413,-97.308258
ADDED_2026,Town of Westlake Fire-EMS Department Training Room,2000 Dove Road,Westlake,76262,32.97823,-97.185539
